date,type,method,category,amount,note,creditdate
2025-05-10,初期値,BANK,所持金,10000000,,
2025-05-11,支出,BANK,保険,6000,,
2025-05-11,支出,CASH,日用品,405.0,,
2025-05-13,支出,BANK,Exchange,5850.0,,
2025-05-13,収入,CASH,Exchange,575.0,,
2025-05-13,支出,CASH,日用品,6750.0,,
2025-05-14,支出,CASH,日用品,30695.600000000002,,
2025-05-16,支出,BANK,ジム,8109.0,,
2025-05-16,支出,BANK,ガス電気,238102.0,,
2025-05-16,支出,BANK,家賃,733.6999999999999,,
2025-05-16,支出,BANK,通信費,35177.0,,
2025-05-17,支出,BANK,保険,3006.0,,
2025-05-22,収入,CASH,Exchange,112000.0,,
2025-05-25,支出,BANK,Exchange,143.0,,
2025-05-31,支出,CASH,日用品,31200.0,,
2025-05-31,収入,CASH,Exchange,840.0,,
2025-06-01,支出,CASH,日用品,897.6,,
2025-06-02,支出,BANK,Exchange,1434.9999999999998,,
2025-06-04,支出,CASH,嗜好品,612000.0,,
2025-06-04,支出,CASH,その他,35046.0,,
2025-06-11,支出,BANK,ジム,15702.4,,
2025-06-14,支出,CASH,食費,116517.99999999999,,
2025-06-16,支出,BANK,保険,1062.6000000000001,,
2025-06-17,支出,BANK,家賃,7065.0,,
2025-06-18,支出,BANK,通信費,8200.0,,
2025-06-19,支出,BANK,ジム,263436.80000000005,,
